id,address,lat,lon,target,risk_factor,xgb_prob,mlp_prob,cnn_prob,defensible_space_m
4416024049,4416024049,34.04167281,-118.55843764,0,Zero Defensible Space,0.41156226,,0.46404072642326355,0.0668499991297721
5763019038,5763019038,34.1735232,-118.04379723,0,Critical Vulnerability,0.48907167,,0.46404072642326355,0.354403018951416
5829020011,5829020011,34.19704458,-118.15722659,0,Zero Defensible Space,0.47538385,,0.6924555897712708,0.0
5846023057,5846023057,34.18564904,-118.11304476,0,Zero Defensible Space,0.52142835,,0.46404072642326355,0.0
4410015011,4410015011,34.03526981,-118.51812891,0,Critical Vulnerability,0.49107718,,0.5902332067489624,0.0
4413003017,4413003017,34.04621407,-118.53589254,0,Critical Vulnerability,0.55905986,,0.7633401155471802,0.0
4411012013,4411012013,34.03769519,-118.52064652,0,Critical Vulnerability,0.38629985,,0.6288868188858032,0.0
4450013082,4450013082,34.03891374,-118.61445419,0,Critical Vulnerability,0.70790553,,0.7460569739341736,0.0668499991297721
5842007002,5842007002,34.19738721,-118.12705928,0,Zero Defensible Space,0.34700063,,0.46404072642326355,0.0668499991297721
5842015017,5842015017,34.19975663,-118.129617,0,Critical Vulnerability,0.513076,,0.4885627031326294,0.1336999982595443
4413014003,4413014003,34.04851003,-118.53387216,0,Zero Defensible Space,0.4272481,,0.46404072642326355,0.2005500048398971
4453003042,4453003042,34.07288993,-118.64777059,0,Low Risk,0.3082208,,0.4849197268486023,100.0
5848002003,5848002003,34.17874067,-118.13371602,0,Critical Vulnerability,0.5038176,,0.46627572178840637,0.0668499991297721
4415012007,4415012007,34.04448877,-118.54740092,1,Zero Defensible Space,0.5187309,,0.5352004766464233,0.0
5843015017,5843015017,34.19586395,-118.12320231,1,Critical Vulnerability,0.48998007,,0.46404072642326355,0.0
4431015143,4431015143,34.07852991,-118.56428449,0,Critical Vulnerability,0.13923459,,0.46404072642326355,0.0
4414026012,4414026012,34.04631463,-118.54198873,1,Zero Defensible Space,0.62739223,,0.7634764909744263,0.0
5846001018,5846001018,34.18639396,-118.1261135,1,Critical Vulnerability,0.59415495,,0.47446876764297485,0.0668499991297721
5762005009,5762005009,34.172183,-118.05630893,0,Critical Vulnerability,0.49814463,,0.46404072642326355,1.9057152271270752
5831012028,5831012028,34.20744942,-118.14091063,1,Critical Vulnerability,0.6919765,,0.8021924495697021,0.0
5835034008,5835034008,34.19078734,-118.1424039,1,Zero Defensible Space,0.3474771,,0.46404072642326355,0.0
